student_id,phase,C1,C2,C3,C4,C5,C6
S001,pre,74.1,55.8,53.3,46.8,63.5,43.5
S001,post,95.0,80.2,86.3,80.2,90.0,76.0
S002,pre,70.8,54.7,53.6,39.9,49.3,46.6
S002,post,88.8,84.8,86.6,78.0,90.6,72.5
S003,pre,74.0,53.9,49.4,42.0,44.9,36.9
S003,post,95.9,87.4,81.6,77.2,80.3,75.9
S004,pre,62.0,38.9,42.9,36.5,43.3,30.8
S004,post,89.8,78.8,83.5,74.2,83.4,71.7
S005,pre,65.1,42.6,41.8,41.3,38.9,23.5
S005,post,86.6,82.3,85.2,76.6,84.2,72.7
S006,pre,40.3,28.1,19.0,9.4,20.6,18.0
S006,post,78.6,78.1,70.0,65.6,70.6,67.3
S007,pre,72.8,50.3,44.7,43.5,48.5,29.1
S007,post,87.1,74.6,74.8,76.4,84.8,68.2
S008,pre,57.3,45.7,38.2,23.6,32.3,23.0
S008,post,85.0,84.9,74.2,71.7,75.1,67.1
S009,pre,70.2,49.4,49.2,44.3,44.3,45.0
S009,post,93.0,76.4,81.5,76.9,82.1,80.6
S010,pre,71.4,54.7,38.9,41.0,41.4,31.6
S010,post,86.3,82.8,81.5,81.6,80.4,79.6
S011,pre,71.9,61.5,52.6,51.9,55.7,48.2
S011,post,90.0,81.0,84.3,79.8,83.1,82.3
S012,pre,56.5,49.1,39.3,40.9,35.1,20.6
S012,post,81.1,84.6,78.4,82.5,71.3,70.6
S013,pre,65.7,52.1,37.5,43.2,37.4,23.8
S013,post,86.1,76.5,80.7,81.6,80.9,65.2
S014,pre,77.1,61.6,47.7,45.6,59.5,41.7
S014,post,87.7,82.0,83.9,84.7,88.8,76.8
S015,pre,66.3,36.7,42.6,38.2,34.4,19.2
S015,post,82.7,82.0,74.7,74.8,77.5,69.2
S016,pre,64.6,42.5,42.5,38.0,43.7,24.7
S016,post,90.1,74.0,75.5,81.7,77.5,67.3
S017,pre,65.3,50.5,41.6,37.0,44.2,34.9
S017,post,86.4,76.2,81.6,75.1,77.2,77.3
S018,pre,55.9,32.8,28.8,22.8,33.8,19.7
S018,post,84.2,74.9,75.2,80.7,79.2,74.2
S019,pre,66.2,65.1,44.4,44.7,50.1,39.7
S019,post,94.6,86.6,78.4,77.9,78.8,72.3
S020,pre,60.4,38.1,35.6,25.7,45.7,15.3
S020,post,90.7,76.5,75.9,70.8,84.8,65.0
S021,pre,76.9,57.5,49.3,46.9,68.5,34.4
S021,post,98.8,78.5,80.0,78.1,87.7,74.2
S022,pre,45.3,28.4,23.8,30.8,22.5,13.6
S022,post,85.0,77.7,73.2,79.0,70.6,66.0
S023,pre,61.4,53.5,33.5,38.5,41.2,43.7
S023,post,90.0,84.7,77.3,76.2,73.0,79.5
S024,pre,59.1,59.0,34.0,31.7,45.4,33.6
S024,post,85.5,86.1,79.5,74.7,73.7,71.3
S025,pre,65.7,53.1,45.0,40.6,40.0,30.4
S025,post,87.6,83.7,80.9,80.3,85.1,72.6
S026,pre,73.3,57.3,41.5,39.7,47.7,25.7
S026,post,84.9,82.8,76.8,80.3,88.5,73.8
S027,pre,52.5,35.7,39.3,30.4,27.7,16.0
S027,post,87.9,80.3,81.0,76.9,75.4,64.5
S028,pre,64.5,57.3,42.4,36.4,51.1,28.9
S028,post,91.8,87.0,81.2,73.7,82.1,73.3
